City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,28.43,24,20,7.2,CA,1722990017
1,port mathurin,-19.6833,63.4167,22.54,73,4,4.46,MU,1722990018
2,panacan,9.2463,118.4082,28.61,80,100,3.92,PH,1722990020
3,punta del este,-34.9667,-54.95,18.87,98,100,2.24,UY,1722989923
4,ancud,-41.8697,-73.8203,6.19,87,49,2.82,CL,1722990024
5,pisco,-13.7,-76.2167,16.12,88,16,6.17,PE,1722989950
6,invercargill,-46.4,168.35,11.12,71,93,4.02,NZ,1722990027
7,puerto natales,-51.7236,-72.4875,-1.86,91,88,1.16,CL,1722990028
8,ilulissat,69.2167,-51.1,9.01,81,25,0.0,GL,1722990004
9,cannonvale,-20.2833,148.7,24.21,75,45,3.97,AU,1722990030
10,dombarovskiy,50.7587,59.5386,21.46,71,67,4.39,RU,1722990031
11,maintirano,-18.0667,44.0167,20.44,82,0,4.26,MG,1722990032
12,isafjordur,66.0755,-23.124,6.3,95,100,2.52,IS,1722990033
13,port elizabeth,-33.918,25.5701,10.17,94,0,1.54,ZA,1722990034
14,greymouth,-42.4667,171.2,11.12,67,76,1.27,NZ,1722990036
15,iqaluit,63.7506,-68.5145,8.85,70,75,1.03,CA,1722989932
16,blackmans bay,-43.0167,147.3167,13.18,66,98,1.57,AU,1722990038
17,chirongui,-12.9319,45.1483,20.96,70,1,4.82,YT,1722990039
18,ushuaia,-54.8,-68.3,-3.19,80,0,1.54,AR,1722990040
19,cekerek,40.0731,35.4947,16.16,94,29,2.06,TR,1722990042
20,flying fish cove,-10.4217,105.6791,24.82,88,100,6.69,CX,1722990043
21,kodiak,57.79,-152.4072,12.73,100,100,6.17,US,1722990044
22,dongcun,36.7767,121.1597,28.24,79,3,1.44,CN,1722990046
23,grytviken,-54.2811,-36.5092,-8.59,72,45,3.47,GS,1722990047
24,port-aux-francais,-49.35,70.2167,2.42,83,72,5.54,TF,1722990048
25,waitangi,-43.9535,-176.5597,11.01,78,0,1.79,NZ,1722990049
26,jamestown,42.097,-79.2353,19.73,100,100,4.63,US,1722989767
27,albany,42.6001,-73.9662,20.13,90,95,1.05,US,1722989975
28,hawaiian paradise park,19.5933,-154.9731,28.74,68,0,5.66,US,1722990053
29,fairfield,41.2668,-73.3162,22.32,85,100,6.17,US,1722990054
30,usogorsk,63.4106,48.6872,10.35,90,51,1.29,RU,1722990055
31,pacific grove,36.6177,-121.9166,21.35,87,0,3.58,US,1722990056
32,enewetak,11.3474,162.3373,28.44,79,68,4.99,MH,1722990057
33,ohara,35.25,140.3833,27.31,87,100,3.61,JP,1722990059
34,papatowai,-46.5619,169.4708,12.38,50,69,2.5,NZ,1722990060
35,cabo san lucas,22.8909,-109.9124,26.61,93,100,2.06,MX,1722989996
36,papao,-17.75,-149.55,28.82,79,0,9.83,PF,1722990063
37,touros,-5.1989,-35.4608,24.05,82,17,6.52,BR,1722990064
38,nemuro,43.3236,145.575,18.29,100,100,2.52,JP,1722990065
39,placido de castro,-10.3353,-67.1856,28.03,46,66,1.01,BR,1722990066
40,bilibino,68.0546,166.4372,9.39,49,15,1.3,RU,1722990067
41,pont rouge,48.8833,-72.0825,16.06,59,73,2.35,CA,1722990068
42,saarijarvi,62.7049,25.254,10.09,73,97,1.21,FI,1722990070
43,vilyuchinsk,52.9306,158.4028,15.15,97,100,1.59,RU,1722990071
44,mangrol,21.1167,70.1167,28.0,80,99,8.14,IN,1722990072
45,georgetown,5.4112,100.3354,26.96,79,20,2.06,MY,1722989955
46,ambanja,-13.6833,48.45,19.44,78,12,1.47,MG,1722990074
47,talnakh,69.4865,88.3972,12.9,57,4,6.16,RU,1722990076
48,asmara,15.3333,38.9333,14.96,83,100,1.87,ER,1722990077
49,greenville,35.6127,-77.3663,24.09,99,75,2.57,US,1722989970
50,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,94,75,2.0,RU,1722990080
51,sanchursk,56.9413,47.2499,14.48,95,100,1.75,RU,1722990081
52,puerto santa,-8.9906,-78.6456,16.83,87,41,5.88,PE,1722990082
53,tiksi,71.6872,128.8694,10.22,84,100,3.18,RU,1722990083
54,cidade velha,14.9167,-23.6167,26.26,78,75,5.14,CV,1722990084
55,pittsburg,38.028,-121.8847,39.94,23,0,5.66,US,1722990086
56,edinburgh of the seven seas,-37.0676,-12.3116,9.81,59,57,7.28,SH,1722990087
57,lichinga,-13.3128,35.2406,14.05,72,0,4.12,MZ,1722990088
58,cadale,2.7603,46.3222,24.78,88,31,6.69,SO,1722990089
59,hood river,45.7054,-121.5215,31.9,32,0,2.68,US,1722990090
60,nagqu,31.5,92.0,5.05,82,95,1.73,CN,1722990091
61,crane,31.3974,-102.3501,35.85,20,0,4.34,US,1722990092
62,yuzhno-kurilsk,44.0306,145.8556,18.23,99,100,2.04,RU,1722990094
63,kirensk,57.7853,108.1119,19.77,54,36,0.51,RU,1722990095
64,chibougamau,49.9168,-74.3659,15.79,48,20,5.66,CA,1722990096
65,zhezqazghan,47.7833,67.7667,25.44,30,69,2.3,KZ,1722990097
66,kermit,31.8576,-103.0927,35.58,18,0,4.27,US,1722990098
67,fort mcmurray,56.7268,-111.381,23.77,31,0,5.66,CA,1722990099
68,yellowknife,62.456,-114.3525,20.23,44,20,4.63,CA,1722990100
69,darhan,49.4867,105.9228,18.64,80,63,1.93,MN,1722990102
70,olonkinbyen,70.9221,-8.7187,6.29,99,100,5.05,SJ,1722990103
71,hasaki,35.7333,140.8333,31.27,82,56,4.21,JP,1722990104
72,la ronge,55.1001,-105.2842,19.14,55,40,7.72,CA,1722989859
73,west island,-12.1568,96.8225,25.99,73,18,4.63,CC,1722990106
74,wailua homesteads,22.0669,-159.378,28.44,68,0,5.66,US,1722990107
75,nova sintra,14.8667,-24.7167,26.07,84,99,7.12,CV,1722990108
76,praia da vitoria,38.7333,-27.0667,23.75,83,75,3.25,PT,1722990109
77,inverell,-29.7833,151.1167,15.62,68,73,0.89,AU,1722990111
78,sinabang,2.4803,96.3801,23.53,94,100,2.28,ID,1722990112
79,gadzhiyevo,69.2551,33.3362,11.79,55,18,4.06,RU,1722990113
80,santa clara de valladares,19.6382,-102.4904,19.28,96,100,1.69,MX,1722990114
81,lethbridge,49.7,-112.8186,19.06,63,75,7.2,CA,1722990116
82,seven pagodas,12.6264,80.1722,25.62,83,100,2.41,IN,1722990117
83,alofi,-19.0595,-169.9187,24.94,65,75,4.63,NU,1722990118
84,laojunmiao,39.8333,97.7333,23.32,31,0,2.0,CN,1722990119
85,hamilton,39.1834,-84.5333,32.0,61,40,4.63,US,1722989706
86,salekhard,66.53,66.6019,6.42,73,0,1.79,RU,1722990121
87,kavieng,-2.5744,150.7967,28.87,73,78,5.6,PG,1722990122
88,general pico,-35.6566,-63.7568,7.21,60,82,4.37,AR,1722989849
89,abepura,-2.6333,140.5833,28.45,74,20,2.57,ID,1722990125
90,el granada,37.5027,-122.4694,32.46,55,20,9.77,US,1722990127
91,rexburg,43.826,-111.7897,33.33,21,20,0.0,US,1722990046
92,longyearbyen,78.2186,15.6401,8.91,93,75,1.54,SJ,1722990129
93,lazaro cardenas,17.9583,-102.2,29.47,72,85,3.68,MX,1722989930
94,coquimbo,-29.9533,-71.3436,12.21,70,0,2.57,CL,1722989400
95,tura,25.5198,90.2201,23.77,97,99,1.52,IN,1722990133
96,huainan,32.6264,116.9969,29.26,77,61,1.64,CN,1722990134
97,daru,-9.0763,143.2092,25.4,82,91,6.74,PG,1722990136
98,qaqortoq,60.7167,-46.0333,9.01,95,100,1.29,GL,1722990137
99,avarua,-21.2078,-159.775,25.03,83,75,2.57,CK,1722990138
100,conde,-7.2597,-34.9075,22.7,94,20,2.06,BR,1722990139
101,veraval,20.9,70.3667,27.84,81,98,7.0,IN,1722990140
102,bredasdorp,-34.5322,20.0403,9.07,91,0,1.54,ZA,1722990142
103,vilyuysk,63.7553,121.6247,13.02,65,10,4.02,RU,1722990143
104,uturoa,-16.7333,-151.4333,26.0,85,15,8.36,PF,1722990144
105,udachny,66.4167,112.4,11.31,62,41,0.38,RU,1722990145
106,punta arenas,-53.15,-70.9167,-0.94,93,75,2.57,CL,1722990147
107,art khwajah,37.0857,69.4796,27.58,20,0,1.92,AF,1722990148
108,rongelap,11.1635,166.8941,28.65,77,90,5.14,MH,1722990149
109,bahia honda,22.9036,-83.1592,27.76,86,80,2.51,CU,1722990150
110,alice springs,-23.7,133.8833,15.75,48,2,4.12,AU,1722990151
111,college,64.8569,-147.8028,25.18,42,75,2.06,US,1722990152
112,kavaratti,10.5669,72.642,26.75,84,100,3.94,IN,1722990153
113,port alfred,-33.5906,26.891,13.91,71,0,4.04,ZA,1722990154
114,adamstown,-25.066,-130.1015,18.79,64,26,4.22,PN,1722989927
115,la passe,45.5549,-0.8967,21.13,93,100,4.53,FR,1722990157
116,ghat,24.9647,10.1728,31.51,15,33,4.02,LY,1722990158
117,sumbawanga,-7.9667,31.6167,13.85,34,5,1.91,TZ,1722990159
118,kiunga,-6.1219,141.2906,24.92,89,99,2.64,PG,1722990160
119,nova vicosa,-17.8919,-39.3719,21.93,76,0,3.08,BR,1722990161
120,taltal,-25.4,-70.4833,13.91,81,41,0.95,CL,1722990020
121,twin falls,42.3505,-114.6445,34.94,16,0,2.57,US,1722990163
122,galle,6.0367,80.217,26.92,84,98,4.78,LK,1722990165
123,kailua-kona,19.6406,-155.9956,28.98,81,100,4.63,US,1722990166
124,minas de marcona,-15.2119,-75.1103,10.39,88,19,5.6,PE,1722990167
125,trapani,37.8333,12.6667,26.82,73,0,0.81,IT,1722990168
126,bethel,41.3712,-73.414,22.44,88,100,4.12,US,1722989974
127,kapuskasing,49.4169,-82.4331,19.05,48,40,2.06,CA,1722990170
128,margaret river,-33.95,115.0667,14.65,77,62,12.56,AU,1722990171
129,malango,-2.9627,119.9001,21.74,94,54,1.05,ID,1722990173
130,ketchikan,55.3422,-131.6461,24.26,53,0,3.6,US,1722990174
131,yaren,-0.5472,166.916,28.26,70,95,1.99,NR,1722990175
132,san luis de la loma,17.2706,-100.8939,29.23,76,88,2.4,MX,1722990176
133,constantia,44.1833,28.65,17.61,88,11,5.53,RO,1722990177
134,kincardine,56.0667,-3.7167,14.34,93,37,3.06,GB,1722990178
135,mahwah,27.05,76.9333,26.5,88,100,2.92,IN,1722990141
136,aasiaat,68.7098,-52.8699,3.82,96,73,3.09,GL,1722990181
137,fraserburgh,57.6874,-2.0184,14.13,76,23,7.73,GB,1722990182
138,velikiy ustyug,60.7644,46.3106,11.61,96,88,2.16,RU,1722990183
139,yemva,62.59,50.8594,10.85,87,97,2.43,RU,1722990184
140,sisimiut,66.9395,-53.6735,5.88,88,100,1.99,GL,1722990185
141,saipan,15.1355,145.701,31.39,74,40,3.09,MP,1722989925
142,hadibu,12.65,54.0333,25.01,78,46,8.23,YE,1722990189
143,hithadhoo,-0.6,73.0833,28.09,71,17,1.95,MV,1722990190
144,kattivakkam,13.2167,80.3167,25.63,99,100,3.25,IN,1722990192
145,eirunepe,-6.6603,-69.8736,24.39,85,90,0.72,BR,1722990193
146,fengrun,39.8333,118.1167,26.0,86,99,1.08,CN,1722990195
147,tromso,69.6496,18.957,13.01,82,19,0.0,NO,1722990196
148,yarmouth,41.7057,-70.2286,20.08,93,100,3.58,US,1722990197
149,thompson,55.7435,-97.8558,12.09,94,100,3.6,CA,1722990198
150,fort st. john,56.2499,-120.8529,20.94,52,75,1.03,CA,1722990199
151,stanley,54.868,-1.6985,13.01,86,0,2.06,GB,1722990200
152,dudinka,69.4058,86.1778,8.62,65,3,9.41,RU,1722990201
153,mahina,-17.5065,-149.489,28.87,65,20,9.26,PF,1722990203
154,esperanza,19.5847,-70.9849,29.32,79,52,0.89,DO,1722990204
155,puerto aysen,-45.4,-72.7,4.12,96,100,0.56,CL,1722990205
156,china,25.7,-99.2333,38.26,25,0,5.03,MX,1722990206
157,kirkwood,38.5834,-90.4068,24.67,79,100,5.66,US,1722990207
158,xinmin,41.9908,122.8253,25.4,88,59,3.83,CN,1722990208
159,las khorey,11.1595,48.1967,31.21,65,14,7.86,SO,1722990209
160,bonthe,7.5264,-12.505,25.21,83,97,3.56,SL,1722990210
161,makokou,0.5738,12.8642,23.38,71,85,1.43,GA,1722990212
162,saldanha,-33.0117,17.9442,10.03,86,7,3.49,ZA,1722990213
163,rio preto da eva,-2.6994,-59.6997,28.96,42,100,1.26,BR,1722990214
164,pangobilian,8.8011,117.8594,28.2,81,100,2.52,PH,1722990215
165,mount pearl,47.5166,-52.7813,16.36,90,75,6.17,CA,1722990216
166,bafq,31.6128,55.4107,32.88,14,1,1.96,IR,1722990217
167,kruisfontein,-34.0033,24.7314,9.12,83,0,2.53,ZA,1722990220
168,happy valley-goose bay,53.3168,-60.3315,15.17,58,75,3.09,CA,1722990205
169,la rioja,42.25,-2.5,16.88,91,100,1.83,ES,1722990134
170,elk city,35.412,-99.4043,38.99,20,0,2.57,US,1722990215
171,sanming,26.2486,117.6186,27.79,78,2,0.83,CN,1722990224
172,sijunjung,-0.6876,100.9537,21.76,96,100,0.48,ID,1722990225
173,vavoua,7.3819,-6.4778,22.78,88,100,2.81,CI,1722990227
174,vorkuta,67.5,64.0,4.78,74,7,3.12,RU,1722990074
175,mount gambier,-37.8333,140.7667,11.12,86,82,3.85,AU,1722990229
176,chirkey,42.9613,46.9787,23.62,70,62,1.5,RU,1722990230
177,danville,36.586,-79.395,25.16,89,20,0.0,US,1722990231
178,puerto ayora,-0.7393,-90.3518,20.31,91,65,2.24,EC,1722990232
179,east moriches,40.8051,-72.7609,23.13,95,100,3.09,US,1722990233
180,manakara,-22.1333,48.0167,18.41,92,23,2.05,MG,1722990234
181,samarkand,39.6542,66.9597,21.68,37,0,1.03,UZ,1722990173
182,noshiro,40.2039,140.0242,28.46,81,67,0.92,JP,1722990238
183,nema,57.5067,50.5011,13.97,94,57,1.37,RU,1722990239
184,weno,7.4515,151.8468,29.97,84,100,3.6,FM,1722990240
185,hermanus,-34.4187,19.2345,7.67,83,0,1.26,ZA,1722990241
186,utrik,11.2278,169.8474,28.46,78,48,5.8,MH,1722990242
187,road town,18.4167,-64.6167,29.02,70,40,4.12,VG,1722990243
188,quellon,-43.1167,-73.6167,6.5,84,31,2.5,CL,1722990245
189,razole,16.4833,81.8333,24.86,91,100,1.18,IN,1722990246
190,swift current,50.2834,-107.8014,19.45,63,100,9.77,CA,1722990247
191,arkadak,51.9326,43.4978,16.7,72,76,0.86,RU,1722990248
192,horta,38.5333,-28.6333,23.34,85,26,1.34,PT,1722990249
193,itaituba,-4.2761,-55.9836,26.82,40,34,1.1,BR,1722990250
194,atafu village,-8.5421,-172.5159,28.17,77,87,6.27,TK,1722990251
195,kingston,17.997,-76.7936,30.53,79,20,5.14,JM,1722989747
196,fale old settlement,-9.3852,-171.2468,28.25,74,72,6.29,TK,1722990254
197,wanxian,30.8039,108.3897,28.48,83,24,1.58,CN,1722990255
198,mermoz boabab,14.7065,-17.4758,27.88,83,40,3.09,SN,1722990256
199,la maddalena,41.2142,9.4083,25.03,75,0,5.08,IT,1722990257
200,mount isa,-20.7333,139.5,18.87,37,2,6.17,AU,1722990258
201,panaba,21.2833,-88.2667,28.45,77,93,3.94,MX,1722990259
202,lihue,21.9789,-159.3672,28.77,66,0,5.66,US,1722990260
203,bamboo flat,11.7,92.7167,26.05,89,75,1.03,IN,1722990262
204,goure,13.9835,10.2704,25.15,76,100,3.52,NE,1722990264
205,kudahuvadhoo,2.6708,72.8944,27.72,75,99,1.99,MV,1722990265
206,shihezi,44.3,86.0333,25.9,42,100,3.86,CN,1722990266
207,port saint john's,-31.6229,29.5448,14.09,68,0,2.17,ZA,1722990267
208,campbellton,48.0075,-66.6727,19.25,44,46,3.52,CA,1722990252
209,santa barbara,34.7333,-120.0343,31.61,34,0,3.6,US,1722990012
210,susuman,62.7833,148.1667,9.22,75,100,1.8,RU,1722990271
211,labrador city,52.9463,-66.9114,8.99,81,100,6.17,CA,1722990273
212,mahibadhoo,3.7833,72.9667,28.12,73,100,2.42,MV,1722990274
213,kerikeri,-35.2268,173.9474,13.18,63,37,1.75,NZ,1722990275
214,goldap,54.3063,22.3036,13.14,96,13,1.72,PL,1722990276
215,sao vicente,-23.9631,-46.3919,29.1,69,10,0.6,BR,1722990125
216,oamaru,-45.0784,170.9801,8.4,59,64,3.05,NZ,1722990279
217,rosario oeste,-14.8361,-56.4275,27.1,26,0,2.01,BR,1722990280
218,bozeman,45.6796,-111.0386,26.49,56,0,4.02,US,1722990281
219,yantzaza,-3.8278,-78.7594,20.39,98,53,0.41,EC,1722990282
220,na klang,17.3072,102.1889,24.57,90,92,1.34,TH,1722990283
221,maralal,1.0968,36.698,15.32,83,82,1.16,KE,1722990284
222,ribeira grande,38.5167,-28.7,23.76,85,12,1.34,PT,1722990286
223,novaya igirma,57.1334,103.9112,18.47,62,72,0.56,RU,1722990287
224,murzzuschlag,47.6,15.6833,15.59,97,29,1.32,AT,1722990288
225,kwangyang,34.9753,127.5892,30.11,75,64,0.78,KR,1722990289
226,walvis bay,-22.9575,14.5053,11.72,95,57,2.1,NA,1722990290
227,zhumysker,49.3333,49.4,24.68,56,89,2.76,KZ,1722990291
228,san luis,-33.295,-66.3356,6.16,71,46,4.22,AR,1722990292
229,zouerate,22.7187,-12.4521,33.12,20,3,4.78,MR,1722990294
230,ballina,-28.8667,153.5667,18.77,64,84,4.88,AU,1722990295
231,acapulco de juarez,16.8634,-99.8901,30.9,66,75,2.57,MX,1722990296
232,al buraymi,24.2509,55.7931,29.68,74,0,3.6,OM,1722990297
233,genhe,50.7833,121.5167,16.34,90,90,0.88,CN,1722990298
234,mishkino,55.3389,63.9175,14.51,91,10,2.0,RU,1722990299
235,cova figueira,14.8905,-24.2934,20.31,88,98,3.84,CV,1722990301
236,jiayuguan,39.8167,98.3,25.72,27,0,1.09,CN,1722990302
237,el jadid,33.2549,-8.506,21.74,87,2,4.21,MA,1722990303
238,ambovombe,-25.1667,46.0833,19.55,80,80,4.98,MG,1722990304
239,flin flon,54.7682,-101.865,15.1,75,92,6.01,CA,1722990305
240,gazojak,41.1875,61.4036,29.33,21,1,4.01,TM,1722990306
241,badger,64.8,-147.5333,25.14,39,75,2.06,US,1722990307
242,timimoun,29.2639,0.231,36.21,15,0,7.72,DZ,1722990309
243,manokwari,-0.8667,134.0833,28.44,67,92,2.87,ID,1722990311
244,gurupi,-11.7292,-49.0686,25.91,33,4,2.62,BR,1722990312
245,luorong,24.4058,109.6086,28.03,79,10,1.44,CN,1722990313
246,ola,59.5833,151.2833,10.6,88,100,1.98,RU,1722990314
247,dauphin,51.1494,-100.0502,16.08,94,100,7.72,CA,1722990315
248,lander,42.833,-108.7307,29.45,23,0,12.35,US,1722990316
249,saint-philippe,-21.3585,55.7679,18.77,70,13,1.77,RE,1722990318
250,muntok,-2.0667,105.1833,25.78,82,84,3.75,ID,1722990319
251,la sarre,48.8002,-79.1996,15.12,61,63,2.98,CA,1722990252
252,sept-iles,50.2001,-66.3821,18.0,56,20,2.57,CA,1722990036
253,vernon,50.2581,-119.2691,31.63,23,0,3.58,CA,1722990322
254,tsiombe,-25.3,45.4833,19.51,80,80,3.73,MG,1722990323
255,merizo village,13.2658,144.6691,30.21,83,74,0.93,GU,1722990324
256,hampton bays,40.869,-72.5176,22.04,96,100,7.15,US,1722990326
257,malaba,0.6346,34.2756,20.1,70,71,1.85,KE,1722990327
258,khaga,25.7833,81.1167,27.66,76,100,1.84,IN,1722990328
259,camocim,-2.9022,-40.8411,25.11,75,1,7.57,BR,1722990329
260,lebu,-37.6167,-73.65,6.66,80,35,2.47,CL,1722989946
261,gisborne,-38.6533,178.0042,12.23,60,6,2.0,NZ,1722990332
262,christchurch,-43.5333,172.6333,12.05,71,2,10.28,NZ,1722989774
263,vrangel',42.7297,133.0839,22.83,92,90,3.06,RU,1722990336
264,warren,39.4334,-84.1666,31.33,66,0,2.57,US,1722990172
265,bingen am rhein,49.9667,7.9,21.08,81,79,1.36,DE,1722990339
266,inebolu,41.9747,33.7608,20.55,59,5,2.96,TR,1722990340
267,gombe,10.2897,11.1673,22.49,91,99,3.34,NG,1722990343
268,mahdia,35.5047,11.0622,25.97,80,0,2.29,TN,1722990344
269,madalena,41.2162,-8.3345,21.42,89,15,0.99,PT,1722990345
270,hammerfest,70.6634,23.6821,16.25,63,6,0.0,NO,1722990346
271,bacabal,-4.2917,-44.7917,26.29,45,87,1.55,BR,1722990347
272,benjamin constant,-4.3831,-70.0311,26.07,67,94,0.66,BR,1722990348
273,fyodorovka,53.6314,62.7078,17.03,96,100,1.9,KZ,1722990349
274,san angelo,31.4638,-100.437,38.12,26,20,2.68,US,1722990251
275,gejiu,23.306,103.1635,16.88,94,91,1.03,CN,1722990352
276,argostolion,38.1811,20.489,27.64,42,0,1.98,GR,1722990353
277,khurja,28.25,77.85,26.28,91,98,2.22,IN,1722990354
278,san pedro pochutla,15.7333,-96.4667,30.84,76,59,2.95,MX,1722990355
279,lompoc,34.6391,-120.4579,34.08,46,7,4.24,US,1722990356
280,severo-yeniseyskiy,60.3725,93.0408,15.77,86,77,1.06,RU,1722990357
281,pokhara,28.2333,83.9833,20.33,93,100,0.36,NP,1722990358
282,san patricio,28.017,-97.5169,33.08,58,35,5.98,US,1722990360
283,brisas de zicatela,15.8369,-97.0419,30.29,84,20,2.57,MX,1722990361
